protein target,smiles count
P15538_CYP11B1,3
Q15825_CHRNA6,3
P08172_CHRM2,3
O75908_ACAT2,3
P60709_ACTB,3
Q13639_HTR4,3
Q9Y233_PDE10A,3
P10415_BCL2,3
P28074_PSMB5,3
P00491_PNP,3
P55085_F2RL1,3
P10826_RARB,2
P49336_CDK8,2
O75533_SF3B1,2
P18054_ALOX12,2
Q15843_NEDD8,2
Q00987_MDM2,2
P49760_CLK2,2
P61158_ACTR3,2
P68871_HBB,2
Q02156_PRKCE,2
P61160_ACTR2,2
Q9Y2D0_CA5B,2
O94806_PRKD3,2
P35575_G6PC,2
O15294_OGT,2
P07101_TH,2
Q9UGJ0_PRKAG2,2
Q9BQB6_VKORC1,2
P27144_AK4,2
P04070_PROC,2
P35226_BMI1,2
P16050_ALOX15,2
P51168_SCNN1B,2
Q96RJ0_TAAR1,2
P49238_CX3CR1,2
P09237_MMP7,2
O15118_NPC1,2
P46527_CDKN1B,2
Q06187_BTK,2
Q9UNQ0_ABCG2,2
Q9NRR2_TPSG1,2
Q8TD08_MAPK15,2
Q08828_ADCY1,2
Q9UF02_CACNG5,2
P56817_BACE1,2
O60894_RAMP1,2
Q14957_GRIN2C,2
Q14534_SQLE,2
Q96QE3_ATAD5,2
P49917_LIG4,2
P29474_NOS3,2
Q96KS0_EGLN2,2
Q8NB16_MLKL,2
Q8WXS5_CACNG8,2
P00558_PGK1,2
Q14240_EIF4A2,2
Q99836_MYD88,2
Q9UL51_HCN2,2
Q92523_CPT1B,2
Q14833_GRM4,2
P13866_SLC5A1,2
P11142_HSPA8,2
Q9GZQ6_NPFFR1,2
P19021_PAM,2
P19838_NFKB1,2
P13637_ATP1A3,2
P41146_OPRL1,2
P10253_GAA,2
P78334_GABRE,2
P03951_F11,2
P30411_BDKRB2,2
P30613_PKLR,2
Q12802_AKAP13,2
Q99418_CYTH2,2
P09382_LGALS1,2
Q8TDS4_HCAR2,2
Q13510_ASAH1,2
P54760_EPHB4,2
O60760_HPGDS,2
P04049_RAF1,2
O14649_KCNK3,2
P41143_OPRD1,2
O43603_GALR2,2
P14174_MIF,2
Q9HAZ1_CLK4,2
P35218_CA5A,2
P50148_GNAQ,2
O60391_GRIN3B,2
P50993_ATP1A2,2
Q02763_TEK,2
Q9Y5X5_NPFFR2,2
P09172_DBH,2
Q14123_PDE1C,2
Q6TGC4_PADI6,2
P08238_HSP90AB1,2
P54619_PRKAG1,2
P36507_MAP2K2,2
P07711_CTSL,2
O75908_SOAT2,2
O14983_ATP2A1,2
P51828_ADCY7,2
Q9BPV8_P2RY13,2
Q07699_SCN1B,2
O14746_TERT,2
O15554_KCNN4,2
O15552_FFAR2,2
Q8NFM4_ADCY4,2
Q96SN7_ORAI2,2
P21397_MAOA,2
P25090_FPR2,2
O15303_GRM6,2
P11169_SLC2A3,2
Q96RI1_NR1H4,2
P84077_ARF1,2
P51170_SCNN1G,2
Q9BZP6_CHIA,2
P48775_TDO2,2
P08842_STS,2
Q07820_MCL1,2
P30874_SSTR2,2
Q9UK32_RPS6KA6,2
O76039_CDKL5,2
